fymon,number,percent
2021-05,142,2.0550
2021-06,190,2.4225
2021-07,183,2.3048
2021-08,247,3.1622
2021-09,307,3.6118
2021-10,388,4.3135
2021-11,623,6.0503
2021-12,646,5.7489
2022-01,615,5.3238
2022-02,705,5.0203
2022-03,764,3.4077
2022-04,782,2.6583
2022-05,557,2.1373
2022-06,437,1.4954
2022-07,332,1.1391
2022-08,214,0.6362
2022-09,103,0.3409
2022-10,77,0.2501
2022-11,15,0.0538
